00001f49--2a6fa30502--3	208.13	manual	15.68
00001f49--2a6fa30502--61	3675.09	manual	1.75
00001f4a--d32dd70102--12	742.55	manual	16.05
00001f4a--d32dd70102--4	254.25	manual	6.52
00001f4b--f5d57a7f89--0	17.75	manual	1.86
00001f4b--f5d57a7f89--5	347.05	manual	13.66
00001f4c--e8e297ccb6--16	1002.64	manual	15.39
00001f4c--e8e297ccb6--55	3314.36	manual	3.72
00001f4c--e8e297ccb6--56	3393.17	auto	3.89
00001f4c--e8e297ccb6--56	3418.17	auto	4.54
00001f4c--e8e297ccb6--57	3466.17	manual	3.42
00001f4c--e8e297ccb6--57	3479.47	manual	2.91
00001f4c--e8e297ccb6--58	3521.47	manual	4.88
00001f4c--e8e297ccb6--60	3606.97	manual	2.23
00001f4c--e8e297ccb6--60	3632.87	manual	5.78
00001f4c--e8e297ccb6--61	3691.17	manual	3.98
00001f4c--e8e297ccb6--82	4929.88	manual	11.09
00001f4d--51907b5a56--9	586.17	mixed	13.21
